nct_id,source,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,registration_year,start_year,completion_year,is_prospective,registry_download_date,results_due_date,results_due,days_pcd_to_summary,is_summary_results_1y_pcd,summary_results_reporting
NCT00493298,CRU trials_12Sep2023.xlsx,2023-01-23,2007-06-27,NA,Observational,NA,6620,"Active, not recruiting",Tysabri Observational Program,2007-06-29T00:00:00Z,2029-01-03T00:00:00Z,2029-01-03T00:00:00Z,FALSE,NA,NA,INDUSTRY,TRUE,2007,2007,2029,TRUE,2023-11-11,2030-01-03,FALSE,NA,NA,results_not_due
NCT00887146,CRU trials_12Sep2023.xlsx,2023-10-30,2009-04-22,NA,Interventional,Phase 3,360,Recruiting,Radiation Therapy With Concomitant and Adjuvant Temozolomide Versus Radiation Therapy With Adjuvant PCV Chemotherapy in Patients With Anaplastic Glioma or Low Grade Glioma,2009-09-01T00:00:00Z,2025-10-01T00:00:00Z,2025-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,2009,2009,2025,TRUE,2023-11-11,2026-10-01,FALSE,NA,NA,results_not_due
NCT01139892,CRU trials_12Sep2023.xlsx,2023-07-04,2010-06-02,NA,Observational,NA,291,Completed,The Canadian UnRuptured Endovascular Versus Surgery Trial (CURES),2010-09-26T00:00:00Z,2022-10-01T00:00:00Z,2022-10-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,2010,2010,2022,TRUE,2023-11-11,2023-10-01,TRUE,NA,NA,results_due_missing
NCT01194570,CRU trials_12Sep2023.xlsx,2023-05-19,2010-08-28,2017-03-30,Interventional,Phase 3,735,Completed,A Study of Ocrelizumab in Participants With Primary Progressive Multiple Sclerosis,2011-03-02T00:00:00Z,2022-12-31T00:00:00Z,2015-07-23T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,2010,2011,2022,TRUE,2023-11-11,2016-07-22,TRUE,616,FALSE,results_due_late
NCT01349582,CRU trials_12Sep2023.xlsx,2023-07-04,2011-05-04,NA,Interventional,Not Applicable,323,Completed,Flow Diversion in Intracranial Aneurysm Treatment,2011-05-02T00:00:00Z,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,2011,2011,2023,TRUE,2023-11-11,2024-01-01,FALSE,NA,NA,results_not_due
NCT01412333,CRU trials_12Sep2023.xlsx,2023-03-02,2011-08-08,2017-03-30,Interventional,Phase 3,835,Completed,A Study of Ocrelizumab in Comparison With Interferon Beta-1a (Rebif) in Participants With Relapsing Multiple Sclerosis,2011-09-20T00:00:00Z,2022-12-30T00:00:00Z,2015-05-12T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,2011,2011,2022,TRUE,2023-11-11,2016-05-11,TRUE,688,FALSE,results_due_late
NCT01442194,CRU trials_12Sep2023.xlsx,2021-12-28,2011-08-21,NA,Observational,NA,3076,Completed,Safety Study in Patients With Multiple Sclerosis Treated Fingolimod or Other Approved Disease-modifying Therapies,2011-08-01T00:00:00Z,2020-07-10T00:00:00Z,2020-07-10T00:00:00Z,FALSE,NA,NA,INDUSTRY,TRUE,2011,2011,2020,TRUE,2023-11-11,2021-07-10,TRUE,NA,NA,results_due_missing
NCT01665144,CRU trials_12Sep2023.xlsx,2023-10-13,2012-08-03,2018-08-06,Interventional,Phase 3,1651,Completed,Exploring the Efficacy and Safety of Siponimod in Patients With Secondary Progressive Multiple Sclerosis (EXPAND),2012-12-20T00:00:00Z,2023-03-30T00:00:00Z,2016-04-29T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,2012,2012,2023,TRUE,2023-11-11,2017-04-29,TRUE,829,FALSE,results_due_late
NCT01960348,CRU trials_12Sep2023.xlsx,2018-11-18,2013-10-09,2018-08-07,Interventional,Phase 3,225,Completed,"APOLLO: The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis",2013-11-01T00:00:00Z,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,2013,2013,2017,TRUE,2023-11-11,2018-08-01,TRUE,371,FALSE,results_due_late
NCT02098252,CRU trials_12Sep2023.xlsx,2023-07-04,2014-03-25,NA,Interventional,Not Applicable,1000,Recruiting,Treatment of Brain AVMs (TOBAS) Study,2014-05-01T00:00:00Z,2036-01-01T00:00:00Z,2035-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,2014,2014,2036,TRUE,2023-11-11,2036-01-01,FALSE,NA,NA,results_not_due
NCT02255656,CRU trials_12Sep2023.xlsx,2022-03-21,2014-09-30,2021-06-30,Interventional,Phase 4,1062,Completed,Phase IIIB-IV Long-Term Follow-up Study for Patients Who Participated in CAMMS03409,2015-01-07T00:00:00Z,2020-07-15T00:00:00Z,2020-07-15T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,2014,2015,2020,TRUE,2023-11-11,2021-07-15,TRUE,350,TRUE,results_timely
