nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric
NCT02685605,2023-05-09,2016-02-05,NA,Interventional,Phase 3,314,Recruiting,Intraoperative Radiotherapy in Newly Diagnosed Glioblastoma Multiforme,2016-12-09T00:00:00Z,2024-03-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE
NCT03179501,2018-10-18,2017-06-05,NA,Interventional,Phase 1,4,Terminated,"NP001, Alzheimer's Disease, and Blood Markers of Inflammation",2017-09-01T00:00:00Z,2018-07-31T00:00:00Z,2018-07-31T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE
NCT03260920,2023-03-16,2017-07-19,NA,Interventional,Phase 2,112,"Active, not recruiting",Intranasal Oxytocin for Frontotemporal Dementia,2018-01-31T00:00:00Z,2023-12-31T00:00:00Z,2023-06-30T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE
NCT04057898,2023-06-08,2019-08-06,NA,Interventional,Phase 2/Phase 3,230,Recruiting,Evaluation of MN-166 (Ibudilast) for 12 Months Followed by an Open-label Extension for 6 Months in Patients With ALS,2020-05-28T00:00:00Z,2024-12-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT04167527,2023-09-06,2019-11-15,NA,Interventional,Phase 2/Phase 3,200,Recruiting,Endovascular Therapy for Low NIHSS Ischemic Strokes,2020-09-05T00:00:00Z,2024-12-01T00:00:00Z,2024-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE
NCT04241068,2023-04-13,2020-01-22,NA,Interventional,Phase 3,1696,"Active, not recruiting","A Study to Evaluate Safety and Tolerability of Aducanumab in Participants With Alzheimer's Disease Who Had Previously Participated in the Aducanumab Studies 221AD103, 221AD301, 221AD302 and 221AD205",2020-03-02T00:00:00Z,2025-02-03T00:00:00Z,2023-10-20T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE
NCT04261478,2022-11-08,2020-02-03,NA,Interventional,Not Applicable,458,Recruiting,Endovascular Acute Stroke Intervention - Tandem OCclusion Trial,2020-08-31T00:00:00Z,2027-03-01T00:00:00Z,2026-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE
NCT04349514,2023-08-20,2020-04-01,NA,Observational,NA,300,Recruiting,A Natural History Study to TRACK Brain and Spinal Cord Changes in Individuals With Friedreich Ataxia (TRACK-FA),2021-02-10T00:00:00Z,2025-08-01T00:00:00Z,2025-08-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE
NCT04477785,2023-08-15,2020-07-15,NA,Observational,NA,4500,Recruiting,PPMI Clinical - Establishing a Deeply Phenotyped PD Cohort,2020-07-01T00:00:00Z,2033-12-01T00:00:00Z,2033-12-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE
NCT04494256,2023-08-29,2020-07-30,NA,Interventional,Phase 1/Phase 2,98,Recruiting,"A Study to Assess the Safety, Tolerability, and Effect on Disease Progression of BIIB105 in Participants With Amyotrophic Lateral Sclerosis (ALS) and Participants With the ALS Ataxin-2 (ATXN2) Genetic Mutation",2020-09-28T00:00:00Z,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z,FALSE,Randomized,Triple,INDUSTRY,TRUE
NCT04635891,2022-12-12,2020-10-29,NA,Observational,NA,450,Recruiting,Motor Outcomes to Validate Evaluations in FSHD (MOVE FSHD),2020-12-15T00:00:00Z,2024-01-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE
NCT04747431,2023-06-22,2021-02-02,NA,Interventional,Phase 1/Phase 2,15,Recruiting,A Study of PBFT02 in Patients With Frontotemporal Dementia and Progranulin Mutations (FTD-GRN),2021-09-14T00:00:00Z,2027-08-01T00:00:00Z,2024-08-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE
NCT04840823,2023-03-21,2021-03-29,NA,Interventional,Phase 1/Phase 2,36,"Active, not recruiting",Enoxacin for Amyotrophic Lateral Sclerosis (ALS),2021-03-26T00:00:00Z,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE
NCT04886518,2023-08-23,2021-05-10,NA,Interventional,Phase 2,30,"Active, not recruiting",Safety and Efficacy of Pitolisant on Excessive Daytime Sleepiness and Other Non-Muscular Symptoms in Patients With Myotonic Dystrophy Type 1,2021-06-28T00:00:00Z,2023-10-01T00:00:00Z,2023-09-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE
NCT04931862,2023-02-02,2021-06-11,NA,Interventional,Phase 1/Phase 2,35,"Active, not recruiting",Study of WVE-004 in Patients With C9orf72-associated Amyotrophic Lateral Sclerosis (ALS) or Frontotemporal Dementia (FTD),2021-06-28T00:00:00Z,2023-12-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE
NCT04935866,2022-08-16,2021-06-15,NA,Observational,NA,286,Recruiting,Optimal Brain Oxygenation in Neurologic Intensive Care Unit : The NeurO2 Study,2021-05-07T00:00:00Z,2025-07-01T00:00:00Z,2024-07-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE
NCT04948645,2023-01-20,2021-06-23,NA,Interventional,Phase 1,31,"Active, not recruiting",A Phase 1 Study to Investigate the Safety and Pharmacokinetics of ABBV-CLS-7262 in Patients With Amyotrophic Lateral Sclerosis,2021-09-22T00:00:00Z,2025-12-01T00:00:00Z,2023-01-12T00:00:00Z,FALSE,Randomized,Triple,INDUSTRY,TRUE
NCT05039099,2023-08-02,2021-09-01,NA,Interventional,Phase 2,63,Recruiting,"A Study to Evaluate, Safety, Tolerability, Pharmacodynamic (PD) Markers and Pharmacokinetics (PK) of AP-101 in Participants With Amyotrophic Lateral Sclerosis (ALS)",2021-09-02T00:00:00Z,2025-01-18T00:00:00Z,2024-06-28T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE
NCT05061953,2023-03-01,2021-09-21,NA,Observational,NA,168,Recruiting,Development of a Novel Functional Eye-Tracking Software Application for Multiple Sclerosis,2021-10-18T00:00:00Z,2027-10-18T00:00:00Z,2027-10-18T00:00:00Z,FALSE,NA,NA,INDUSTRY,TRUE
NCT05348785,2023-09-12,2022-04-04,NA,Interventional,Phase 2,640,Recruiting,A Study to Assess the Safety of BIIB122 Tablets and if it Can Slow the Worsening of Early-Stage Parkinson's Disease in Participants Between the Ages of 30 and 80,2022-04-19T00:00:00Z,2025-08-28T00:00:00Z,2025-08-15T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05349721,2023-08-18,2022-04-21,NA,Interventional,Phase 2,258,Recruiting,Study to Assess the Effects of PTC857 Treatment in Participants With Amyotrophic Lateral Sclerosis ALS,2022-05-15T00:00:00Z,2025-02-28T00:00:00Z,2024-07-31T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05399888,2023-09-11,2022-05-27,NA,Interventional,Phase 2,735,Recruiting,"A Study to Assess if BIIB080 Can Change Clinical Dementia Rating-Sum of Boxes Scores, and BIIB080 Safety and Tolerability When Injected Into the Cerebrospinal Fluid of Participants With Mild Cognitive Impairment Due to Alzheimer's Disease (AD) or Mild AD Dementia Between 50 to 80 Years of Age",2022-08-24T00:00:00Z,2026-12-14T00:00:00Z,2026-12-14T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05403541,2023-09-15,2022-05-26,NA,Interventional,Phase 3,210,Recruiting,Phase 3 Study to Assess the Efficacy and Safety of Batoclimab as Induction and Maintenance Therapy in Adult Participants With Generalized Myasthenia Gravis,2022-06-27T00:00:00Z,2025-04-01T00:00:00Z,2024-04-01T00:00:00Z,FALSE,Randomized,Triple,INDUSTRY,TRUE
NCT05633459,2023-09-12,2022-11-21,NA,Interventional,Phase 1,64,Recruiting,A Study Evaluating the Safety and Tolerability of QRL-201 in ALS,2022-12-16T00:00:00Z,2025-05-06T00:00:00Z,2025-05-06T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05686070,2023-09-05,2023-01-06,NA,Interventional,Phase 3,9300,Recruiting,A Study to Test Asundexian to Prevent a Clot-related Stroke in Participants After an Acute Ischemic Stroke or High-risk TIA/Mini-stroke (Transient Ischemic Attack),2023-01-26T00:00:00Z,2025-10-10T00:00:00Z,2025-10-10T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05686551,2023-09-07,2022-12-16,NA,Interventional,Phase 2,360,Recruiting,"GENERATION HD2. A Study to Evaluate the Safety, Biomarkers, and Efficacy of Tominersen Compared With Placebo in Participants With Prodromal and Early Manifest Huntington's Disease.",2023-01-30T00:00:00Z,2027-01-04T00:00:00Z,2025-01-03T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
NCT05704361,2023-09-11,2023-01-04,NA,Interventional,Phase 1,63,Recruiting,"A Study to Investigate the Safety, Tolerability, and Processing by the Body of Intravenous RO7121932 in Participants With Multiple Sclerosis.",2021-08-11T00:00:00Z,2025-01-31T00:00:00Z,2025-01-31T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE
NCT05819359,2023-06-29,2023-04-06,NA,Interventional,Phase 2,237,Recruiting,"Efficacy, Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics of BIA 28-6156 in GBA-PD",2023-03-31T00:00:00Z,2026-03-31T00:00:00Z,2025-12-31T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE
